id_venta,fecha,producto,categoria,cantidad,precio_unit,descuento_pct,descuento_s,total,vendedor,region,canal,metodo_pago
1,2024-03-12,Impresora Epson EcoTank,Impresoras,2,580.0,10,116.0,1044.0,Carlos Ríos,Arequipa,Tienda física,Tarjeta débito
2,2024-04-21,Tablet Samsung Tab S8,Tablets,2,1850.0,0,0.0,3700.0,Jorge Díaz,Lima Norte,Tienda física,Efectivo
3,2024-01-04,"Monitor Dell 32"" 4K",Monitores,7,1950.0,15,2047.5,11602.5,María Flores,Piura,E-commerce,Tarjeta crédito
4,2024-02-17,Mouse Razer DeathAdder,Periféricos,5,180.0,5,45.0,855.0,Luis Vega,Lima Centro,Tienda física,Efectivo
5,2024-07-12,Impresora HP LaserJet,Impresoras,5,750.0,0,0.0,3750.0,Carlos Ríos,Piura,E-commerce,Efectivo
6,2024-04-26,Impresora HP LaserJet,Impresoras,6,750.0,15,675.0,3825.0,María Flores,Lima Sur,Tienda física,Cuotas
7,2024-07-05,Teclado Logitech MX,Periféricos,2,320.0,0,0.0,640.0,Jorge Díaz,Arequipa,E-commerce,Cuotas
8,2024-07-13,Teclado Mecánico HyperX,Periféricos,2,280.0,0,0.0,560.0,Luis Vega,Lima Centro,Tienda física,Tarjeta crédito
9,2024-06-10,Tablet Samsung Tab S8,Tablets,4,1850.0,5,370.0,7030.0,Elena Cruz,Lima Norte,Tienda física,Efectivo
10,2024-08-22,iPad Air,Tablets,6,2999.0,0,0.0,17994.0,María Flores,Piura,E-commerce,Cuotas
11,2024-03-11,Tablet Samsung Tab S8,Tablets,5,1850.0,5,462.5,8787.5,Jorge Díaz,Trujillo,Tienda física,Tarjeta débito
12,2024-07-16,MacBook Air M2,Computadoras,3,5999.0,5,899.85,17097.15,Luis Vega,Trujillo,E-commerce,Efectivo
13,2024-02-27,Teclado Mecánico HyperX,Periféricos,1,280.0,0,0.0,280.0,Ana Torres,Arequipa,Corporativo,Tarjeta crédito
14,2024-11-23,UPS APC 1000VA,Energía,5,480.0,5,120.0,2280.0,Luis Vega,Lima Sur,Corporativo,Tarjeta crédito
15,2024-02-27,Laptop Asus VivoBook,Computadoras,3,2350.0,0,0.0,7050.0,Carlos Ríos,Cusco,E-commerce,Efectivo
16,2024-02-13,Mouse Logitech MX Master,Periféricos,4,220.0,10,88.0,792.0,Carlos Ríos,Lima Centro,E-commerce,Efectivo
17,2024-05-15,Laptop Asus VivoBook,Computadoras,3,2350.0,5,352.5,6697.5,Luis Vega,Piura,E-commerce,Tarjeta débito
18,2024-07-10,"Monitor Dell 32"" 4K",Monitores,4,1950.0,5,390.0,7410.0,Pedro Salas,Trujillo,Corporativo,Cuotas
19,2024-10-10,Teclado Logitech MX,Periféricos,4,320.0,0,0.0,1280.0,,Cusco,Tienda física,Transferencia
20,2024-02-06,Switch Cisco 8 puertos,Redes,1,420.0,5,21.0,399.0,María Flores,Lima Sur,Tienda física,Tarjeta crédito
21,2024-04-07,"Monitor Dell 32"" 4K",Monitores,3,1950.0,0,0.0,5850.0,Sofía Puma,Lima Centro,E-commerce,Tarjeta crédito
22,2024-11-26,Webcam Logitech C920,Periféricos,7,350.0,0,0.0,2450.0,Sofía Puma,Lima Norte,Corporativo,Cuotas
23,2024-03-12,MacBook Air M2,Computadoras,4,5999.0,5,1199.8,22796.2,María Flores,Lima Centro,E-commerce,Tarjeta crédito
24,2024-01-08,Laptop Lenovo IdeaPad,Computadoras,8,2199.0,0,0.0,17592.0,Ana Torres,Lima Norte,Corporativo,Transferencia
25,2024-01-31,"Monitor Samsung 27""",Monitores,7,1150.0,0,0.0,8050.0,Sofía Puma,Piura,Tienda física,Tarjeta crédito
26,2024-10-11,Teclado Mecánico HyperX,Periféricos,8,280.0,10,224.0,2016.0,Pedro Salas,Trujillo,Corporativo,Cuotas
27,2024-01-30,Mouse Logitech MX Master,Periféricos,4,220.0,0,0.0,880.0,Carlos Ríos,Lima Norte,Corporativo,Tarjeta crédito
28,2024-10-31,Disco Externo Seagate 2TB,Almacenamiento,3,280.0,0,0.0,840.0,Carlos Ríos,Lima Sur,Tienda física,Efectivo
29,2024-10-25,MacBook Air M2,Computadoras,4,5999.0,5,1199.8,22796.2,Carlos Ríos,Lima Sur,E-commerce,Cuotas
30,2024-12-09,"Monitor Dell 32"" 4K",Monitores,6,1950.0,10,1170.0,10530.0,María Flores,Arequipa,E-commerce,Tarjeta débito
31,2024-02-21,Laptop Asus VivoBook,Computadoras,2,2350.0,0,0.0,4700.0,Carlos Ríos,Piura,E-commerce,Transferencia
32,2024-03-21,"Monitor LG 24""",Monitores,6,850.0,5,255.0,4845.0,Ana Torres,Lima Centro,Tienda física,Tarjeta crédito
33,2024-02-29,Impresora HP LaserJet,Impresoras,1,750.0,0,0.0,750.0,Pedro Salas,Lima Sur,Tienda física,Tarjeta crédito
34,2024-05-15,Mouse Logitech MX Master,Periféricos,4,220.0,5,44.0,836.0,Elena Cruz,Lima Centro,Corporativo,Cuotas
35,2024-06-19,Laptop Dell Inspiron,Computadoras,2,2899.0,15,869.7,4928.3,Jorge Díaz,Arequipa,Tienda física,Efectivo
36,2024-12-19,"Monitor Samsung 27""",Monitores,8,1150.0,0,0.0,9200.0,Jorge Díaz,Lima Norte,Tienda física,Efectivo
37,2024-07-05,iPad Air,Tablets,3,2999.0,15,1349.55,7647.45,Jorge Díaz,Lima Este,Tienda física,Tarjeta crédito
38,2024-07-27,Auriculares Sony WH-1000,Audio,4,650.0,5,130.0,2470.0,María Flores,Lima Sur,Tienda física,Transferencia
39,2024-06-19,Teclado Logitech MX,Periféricos,3,320.0,15,144.0,816.0,Luis Vega,Trujillo,Tienda física,Tarjeta débito
40,2024-07-14,UPS APC 1000VA,Energía,4,480.0,15,288.0,1632.0,Pedro Salas,Lima Este,Corporativo,Efectivo
41,2024-01-13,"Monitor Dell 32"" 4K",Monitores,8,1950.0,10,1560.0,14040.0,Elena Cruz,Arequipa,Tienda física,Tarjeta débito
42,2024-06-18,Laptop Lenovo IdeaPad,Computadoras,5,2199.0,0,0.0,10995.0,Elena Cruz,Trujillo,Corporativo,Transferencia
43,2024-06-25,"Monitor Samsung 27""",Monitores,5,1150.0,10,575.0,5175.0,Carlos Ríos,Lima Sur,E-commerce,Tarjeta crédito
44,2024-12-28,Disco Externo Seagate 2TB,Almacenamiento,2,280.0,5,28.0,532.0,Jorge Díaz,Lima Centro,Tienda física,
45,2024-06-18,Tablet Samsung Tab S8,Tablets,4,1850.0,5,370.0,7030.0,Elena Cruz,Trujillo,Tienda física,Cuotas
46,2024-12-22,UPS APC 1000VA,Energía,5,480.0,0,0.0,2400.0,Pedro Salas,Trujillo,Tienda física,Tarjeta crédito
47,2024-01-01,Router TP-Link AX3000,Redes,7,350.0,0,0.0,2450.0,Luis Vega,Arequipa,E-commerce,Transferencia
48,2024-04-19,iPad Air,Tablets,6,2999.0,5,899.7,17094.3,Sofía Puma,Piura,E-commerce,Cuotas
49,2024-11-20,UPS APC 1000VA,Energía,3,480.0,5,72.0,1368.0,Ana Torres,Arequipa,E-commerce,Cuotas
50,2024-01-13,Laptop Asus VivoBook,Computadoras,4,2350.0,0,0.0,9400.0,Pedro Salas,Lima Centro,Tienda física,Tarjeta débito
51,2024-04-09,Laptop Asus VivoBook,Computadoras,2,2350.0,10,470.0,4230.0,Sofía Puma,Trujillo,Corporativo,Transferencia
52,2024-03-31,Teclado Logitech MX,Periféricos,3,320.0,15,144.0,816.0,Carlos Ríos,Lima Sur,E-commerce,Tarjeta débito
53,2024-12-07,Laptop Dell Inspiron,Computadoras,4,2899.0,5,579.8,11016.2,Ana Torres,Piura,Tienda física,Tarjeta crédito
54,2024-08-31,Laptop Asus VivoBook,Computadoras,8,2350.0,5,940.0,17860.0,Jorge Díaz,Piura,Tienda física,Cuotas
55,2024-02-09,Impresora Epson EcoTank,Impresoras,5,580.0,10,290.0,2610.0,Sofía Puma,Lima Centro,Tienda física,Tarjeta crédito
56,2024-12-21,Mouse Razer DeathAdder,Periféricos,2,180.0,0,0.0,360.0,Luis Vega,Lima Este,Tienda física,Tarjeta crédito
57,2024-08-03,Webcam Logitech C920,Periféricos,6,350.0,5,105.0,1995.0,Sofía Puma,Trujillo,Tienda física,Tarjeta débito
58,2024-06-01,Switch Cisco 8 puertos,Redes,1,420.0,15,63.0,357.0,Jorge Díaz,Piura,Tienda física,Tarjeta crédito
59,2024-09-05,Webcam Logitech C920,Periféricos,4,350.0,0,0.0,1400.0,Sofía Puma,Lima Centro,Tienda física,Tarjeta crédito
60,2024-01-14,Auriculares JBL Tune,Audio,3,180.0,5,27.0,513.0,Sofía Puma,Lima Este,E-commerce,Transferencia
61,2024-05-13,Laptop Lenovo IdeaPad,Computadoras,7,2199.0,5,769.65,14623.35,Luis Vega,Piura,Tienda física,Efectivo
62,2024-08-28,Mouse Razer DeathAdder,Periféricos,7,180.0,0,0.0,1260.0,Pedro Salas,Trujillo,Tienda física,Efectivo
63,2024-04-12,Auriculares Sony WH-1000,Audio,4,650.0,15,390.0,2210.0,Ana Torres,Lima Norte,Tienda física,
64,2024-05-11,"Monitor LG 24""",Monitores,8,850.0,15,1020.0,5780.0,Ana Torres,Lima Centro,E-commerce,Cuotas
65,2024-01-14,UPS APC 1000VA,Energía,2,480.0,0,0.0,960.0,Luis Vega,Arequipa,Tienda física,Transferencia
66,2024-11-17,Auriculares JBL Tune,Audio,7,180.0,0,0.0,1260.0,María Flores,Lima Sur,E-commerce,Cuotas
67,2024-12-04,Router TP-Link AX3000,Redes,2,350.0,0,0.0,700.0,Carlos Ríos,Cusco,E-commerce,Tarjeta crédito
68,2024-11-21,Laptop HP 15,Computadoras,7,2499.0,15,2623.95,14869.05,Sofía Puma,Lima Sur,E-commerce,Tarjeta crédito
69,2024-10-30,"Monitor Samsung 27""",Monitores,5,1150.0,0,0.0,5750.0,Sofía Puma,Piura,E-commerce,Cuotas
70,2024-11-08,Laptop Lenovo IdeaPad,Computadoras,5,2199.0,10,1099.5,9895.5,Sofía Puma,Lima Centro,E-commerce,Transferencia
71,2024-06-23,Mouse Razer DeathAdder,Periféricos,3,180.0,0,0.0,540.0,Sofía Puma,Lima Centro,Tienda física,Tarjeta crédito
72,2024-07-27,Teclado Mecánico HyperX,Periféricos,1,280.0,5,14.0,266.0,María Flores,Lima Sur,Tienda física,Cuotas
73,2024-04-23,SSD WD Blue 500GB,Almacenamiento,8,180.0,5,72.0,1368.0,Sofía Puma,Lima Norte,Tienda física,Tarjeta crédito
74,2024-10-08,iPad Air,Tablets,6,2999.0,0,0.0,17994.0,Sofía Puma,Cusco,E-commerce,Cuotas
75,2024-06-10,Mouse Logitech MX Master,Periféricos,5,220.0,0,0.0,1100.0,María Flores,Lima Sur,Corporativo,Tarjeta débito
76,2024-05-21,Switch Cisco 8 puertos,Redes,3,420.0,10,126.0,1134.0,María Flores,Lima Centro,Corporativo,Tarjeta crédito
77,2024-07-03,Impresora HP LaserJet,Impresoras,5,750.0,0,0.0,3750.0,Ana Torres,Lima Centro,Tienda física,Tarjeta débito
78,2024-12-23,"Monitor LG 24""",Monitores,5,850.0,0,0.0,4250.0,Carlos Ríos,Lima Norte,E-commerce,Tarjeta crédito
79,2024-06-23,MacBook Air M2,Computadoras,1,5999.0,0,0.0,5999.0,Pedro Salas,Piura,E-commerce,Tarjeta crédito
80,2024-10-22,SSD WD Blue 500GB,Almacenamiento,2,180.0,10,36.0,324.0,Ana Torres,Trujillo,E-commerce,Efectivo
81,2024-08-01,iPad Air,Tablets,5,2999.0,5,749.75,14245.25,Ana Torres,Lima Centro,Tienda física,Transferencia
82,2024-08-07,Laptop Asus VivoBook,Computadoras,7,2350.0,0,0.0,16450.0,Sofía Puma,Piura,Tienda física,Transferencia
83,2024-02-11,UPS APC 1000VA,Energía,2,480.0,0,0.0,960.0,María Flores,Lima Centro,Tienda física,Cuotas
84,2024-08-28,"Monitor Samsung 27""",Monitores,1,1150.0,0,0.0,1150.0,Jorge Díaz,Piura,Corporativo,Transferencia
85,2024-10-28,Mouse Logitech MX Master,Periféricos,8,220.0,10,176.0,1584.0,Ana Torres,Lima Centro,Tienda física,Cuotas
86,2024-01-31,MacBook Air M2,Computadoras,4,5999.0,0,0.0,23996.0,Luis Vega,Arequipa,Tienda física,Efectivo
87,2024-06-04,iPad Air,Tablets,5,2999.0,10,1499.5,13495.5,Sofía Puma,Lima Sur,E-commerce,Cuotas
88,2024-08-09,Tablet Samsung Tab S8,Tablets,8,1850.0,10,1480.0,13320.0,Sofía Puma,Lima Sur,E-commerce,Efectivo
89,2024-03-30,Laptop Lenovo IdeaPad,Computadoras,4,2199.0,5,439.8,8356.2,Carlos Ríos,Arequipa,E-commerce,Efectivo
90,2024-06-27,Teclado Mecánico HyperX,Periféricos,3,280.0,5,42.0,798.0,Jorge Díaz,Piura,Tienda física,Tarjeta crédito
91,2024-07-24,"Monitor Samsung 27""",Monitores,6,1150.0,15,1035.0,5865.0,Jorge Díaz,Piura,Tienda física,Cuotas
92,2024-09-20,Laptop Lenovo IdeaPad,Computadoras,6,2199.0,15,1979.1,11214.9,Pedro Salas,Cusco,Tienda física,Tarjeta crédito
93,2024-07-04,Tablet Samsung Tab S8,Tablets,8,1850.0,5,740.0,14060.0,Jorge Díaz,Lima Norte,Tienda física,Transferencia
94,2024-05-27,Laptop Asus VivoBook,Computadoras,1,2350.0,5,117.5,2232.5,María Flores,Arequipa,E-commerce,Tarjeta débito
95,2024-10-09,Laptop HP 15,Computadoras,4,2499.0,5,499.8,9496.2,Luis Vega,Arequipa,E-commerce,Efectivo
96,2024-05-29,MacBook Air M2,Computadoras,8,5999.0,5,2399.6,45592.4,Ana Torres,Lima Este,E-commerce,Cuotas
97,2024-07-15,SSD WD Blue 500GB,Almacenamiento,8,180.0,0,0.0,1440.0,María Flores,Piura,E-commerce,Tarjeta débito
98,2024-05-16,"Monitor LG 24""",Monitores,2,850.0,15,255.0,1445.0,Pedro Salas,Trujillo,Tienda física,
99,2024-06-25,iPad Air,Tablets,8,2999.0,0,0.0,23992.0,Luis Vega,Piura,E-commerce,Tarjeta crédito
100,2024-04-29,SSD Samsung 1TB,Almacenamiento,6,320.0,15,288.0,1632.0,María Flores,Lima Centro,E-commerce,Tarjeta crédito
101,2024-03-18,UPS APC 1000VA,Energía,8,480.0,5,192.0,3648.0,Jorge Díaz,Trujillo,Corporativo,Cuotas
102,2024-08-21,iPad Air,Tablets,6,2999.0,0,0.0,17994.0,Ana Torres,Piura,Tienda física,Transferencia
103,2024-11-15,Impresora Epson EcoTank,Impresoras,3,580.0,10,174.0,1566.0,Ana Torres,Piura,Tienda física,Tarjeta crédito
104,2024-11-12,Mouse Razer DeathAdder,Periféricos,7,180.0,0,0.0,1260.0,Elena Cruz,Piura,E-commerce,Efectivo
105,2024-12-26,Mouse Logitech MX Master,Periféricos,4,220.0,15,132.0,748.0,Ana Torres,Trujillo,Tienda física,Cuotas
106,2024-07-02,Mouse Logitech MX Master,Periféricos,1,220.0,0,0.0,220.0,Carlos Ríos,Cusco,Tienda física,Tarjeta crédito
107,2024-07-14,Webcam Logitech C920,Periféricos,3,350.0,5,52.5,997.5,Luis Vega,Lima Este,Tienda física,Transferencia
108,2024-08-23,iPad Air,Tablets,3,2999.0,0,0.0,8997.0,María Flores,Piura,Corporativo,Tarjeta crédito
109,2024-10-27,SSD Samsung 1TB,Almacenamiento,5,320.0,0,0.0,1600.0,Luis Vega,Lima Sur,E-commerce,Tarjeta crédito
110,2024-02-24,Teclado Mecánico HyperX,Periféricos,8,280.0,0,0.0,2240.0,Pedro Salas,Lima Centro,E-commerce,Tarjeta crédito
111,2024-10-16,Mouse Logitech MX Master,Periféricos,5,220.0,15,165.0,935.0,Carlos Ríos,Trujillo,Tienda física,Efectivo
112,2024-04-22,Laptop Dell Inspiron,Computadoras,8,2899.0,10,2319.2,20872.8,Pedro Salas,Lima Centro,E-commerce,Tarjeta crédito
113,2024-01-18,Laptop Asus VivoBook,Computadoras,3,2350.0,5,352.5,6697.5,Ana Torres,Lima Norte,Tienda física,Tarjeta crédito
114,2024-10-03,Mouse Logitech MX Master,Periféricos,6,220.0,0,0.0,1320.0,Jorge Díaz,Lima Este,Tienda física,Tarjeta débito
115,2024-02-28,"Monitor Samsung 27""",Monitores,5,1150.0,5,287.5,5462.5,Sofía Puma,Arequipa,Corporativo,Tarjeta crédito
116,2024-05-15,Teclado Logitech MX,Periféricos,7,320.0,5,112.0,2128.0,Elena Cruz,Lima Sur,E-commerce,Efectivo
117,2024-04-29,UPS APC 1000VA,Energía,5,480.0,5,120.0,2280.0,Jorge Díaz,Cusco,Tienda física,
118,2024-12-24,Tablet Samsung Tab S8,Tablets,6,1850.0,0,0.0,11100.0,María Flores,Lima Sur,Corporativo,Tarjeta crédito
119,2024-04-30,Laptop Dell Inspiron,Computadoras,1,2899.0,5,144.95,2754.05,Pedro Salas,Piura,Tienda física,Efectivo
120,2024-09-07,Router TP-Link AX3000,Redes,7,350.0,5,122.5,2327.5,Luis Vega,Trujillo,Corporativo,Efectivo
121,2024-07-04,Laptop Dell Inspiron,Computadoras,6,2899.0,0,0.0,17394.0,María Flores,Piura,E-commerce,Tarjeta débito
122,2024-03-03,Impresora Epson EcoTank,Impresoras,6,580.0,15,522.0,2958.0,Carlos Ríos,Trujillo,Tienda física,Tarjeta débito
123,2024-10-16,"Monitor Dell 32"" 4K",Monitores,1,1950.0,0,0.0,1950.0,Carlos Ríos,Cusco,Tienda física,Tarjeta débito
124,2024-01-02,"Monitor Dell 32"" 4K",Monitores,4,1950.0,0,0.0,7800.0,María Flores,Cusco,Tienda física,Transferencia
125,2024-03-08,"Monitor LG 24""",Monitores,5,850.0,0,0.0,4250.0,Luis Vega,Lima Sur,Corporativo,Efectivo
126,2024-03-05,iPad Air,Tablets,6,2999.0,10,1799.4,16194.6,Carlos Ríos,Lima Este,Tienda física,Efectivo
127,2024-02-25,Laptop Lenovo IdeaPad,Computadoras,8,2199.0,5,879.6,16712.4,Sofía Puma,Cusco,E-commerce,Transferencia
128,2024-07-24,Laptop Dell Inspiron,Computadoras,5,2899.0,5,724.75,13770.25,Sofía Puma,Lima Norte,Tienda física,Tarjeta crédito
129,2024-02-03,SSD Samsung 1TB,Almacenamiento,2,320.0,0,0.0,640.0,Ana Torres,Cusco,E-commerce,Tarjeta débito
130,2024-11-05,Tablet Samsung Tab S8,Tablets,6,1850.0,5,555.0,10545.0,Jorge Díaz,Arequipa,E-commerce,Transferencia
131,2024-06-22,Impresora Epson EcoTank,Impresoras,4,580.0,15,348.0,1972.0,Jorge Díaz,Piura,Tienda física,Tarjeta crédito
132,2024-07-10,MacBook Air M2,Computadoras,6,5999.0,0,0.0,35994.0,Jorge Díaz,Cusco,Corporativo,Tarjeta crédito
133,2024-07-09,Laptop Lenovo IdeaPad,Computadoras,2,2199.0,15,659.7,3738.3,Ana Torres,Trujillo,Tienda física,Cuotas
134,2024-08-04,Tablet Samsung Tab S8,Tablets,6,1850.0,15,1665.0,9435.0,Ana Torres,Trujillo,Tienda física,Cuotas
135,2024-04-18,Mouse Logitech MX Master,Periféricos,5,220.0,0,0.0,1100.0,Elena Cruz,Lima Sur,E-commerce,Transferencia
136,2024-04-25,MacBook Air M2,Computadoras,6,5999.0,15,5399.1,30594.9,Elena Cruz,Lima Sur,Tienda física,Transferencia
137,2024-12-25,Laptop Asus VivoBook,Computadoras,1,2350.0,15,352.5,1997.5,Pedro Salas,Lima Norte,Tienda física,Tarjeta crédito
138,2024-11-20,Laptop HP 15,Computadoras,3,2499.0,0,0.0,7497.0,Luis Vega,Trujillo,Tienda física,Tarjeta débito
139,2024-06-08,Auriculares JBL Tune,Audio,7,180.0,10,126.0,1134.0,Sofía Puma,Cusco,Tienda física,Tarjeta crédito
140,2024-01-26,Impresora HP LaserJet,Impresoras,2,750.0,10,150.0,1350.0,Carlos Ríos,Lima Este,Tienda física,Transferencia
141,2024-09-19,Webcam Logitech C920,Periféricos,8,350.0,0,0.0,2800.0,Sofía Puma,Trujillo,Tienda física,Tarjeta débito
142,2024-11-02,Router TP-Link AX3000,Redes,8,350.0,0,0.0,2800.0,Pedro Salas,Lima Norte,Tienda física,
143,2024-01-04,"Monitor Dell 32"" 4K",Monitores,3,1950.0,5,292.5,5557.5,Pedro Salas,Arequipa,Tienda física,Efectivo
144,2024-01-22,Auriculares JBL Tune,Audio,4,180.0,5,36.0,684.0,Elena Cruz,Lima Sur,E-commerce,
145,2024-07-26,Mouse Razer DeathAdder,Periféricos,7,180.0,0,0.0,1260.0,Jorge Díaz,Trujillo,Tienda física,Efectivo
146,2024-05-04,Impresora HP LaserJet,Impresoras,8,750.0,5,300.0,5700.0,Elena Cruz,Lima Sur,E-commerce,Efectivo
147,2024-02-09,Auriculares JBL Tune,Audio,5,180.0,5,45.0,855.0,Elena Cruz,Lima Centro,Tienda física,Tarjeta débito
148,2024-03-15,"Monitor Dell 32"" 4K",Monitores,6,1950.0,0,0.0,11700.0,Elena Cruz,Lima Este,Tienda física,Efectivo
149,2024-10-23,Laptop Asus VivoBook,Computadoras,2,2350.0,5,235.0,4465.0,Luis Vega,Piura,E-commerce,Transferencia
150,2024-08-28,Impresora Epson EcoTank,Impresoras,6,580.0,5,174.0,3306.0,Elena Cruz,Lima Este,E-commerce,Efectivo
151,2024-08-19,iPad Air,Tablets,1,2999.0,0,0.0,2999.0,Elena Cruz,Lima Sur,Tienda física,Tarjeta crédito
152,2024-01-22,Laptop Lenovo IdeaPad,Computadoras,2,2199.0,5,219.9,4178.1,Jorge Díaz,Piura,E-commerce,Transferencia
153,2024-02-22,"Monitor Dell 32"" 4K",Monitores,6,1950.0,15,1755.0,9945.0,Sofía Puma,Lima Este,Tienda física,Tarjeta crédito
154,2024-08-12,Switch Cisco 8 puertos,Redes,2,420.0,5,42.0,798.0,Luis Vega,Lima Norte,Tienda física,Cuotas
155,2024-12-13,Auriculares Sony WH-1000,Audio,6,650.0,5,195.0,3705.0,Pedro Salas,Trujillo,E-commerce,Tarjeta crédito
156,2024-07-16,Mouse Razer DeathAdder,Periféricos,2,180.0,0,0.0,360.0,Elena Cruz,Lima Sur,E-commerce,Cuotas
157,2024-03-13,Impresora HP LaserJet,Impresoras,3,750.0,0,0.0,2250.0,Elena Cruz,Lima Sur,E-commerce,Cuotas
158,2024-07-11,Router TP-Link AX3000,Redes,7,350.0,10,245.0,2205.0,Luis Vega,Lima Sur,Tienda física,Transferencia
159,2024-06-07,Router TP-Link AX3000,Redes,2,350.0,0,0.0,700.0,Jorge Díaz,Cusco,Tienda física,Tarjeta crédito
160,2024-02-09,Laptop Asus VivoBook,Computadoras,8,2350.0,0,0.0,18800.0,María Flores,Lima Centro,Tienda física,Tarjeta débito
161,2024-03-19,Laptop Asus VivoBook,Computadoras,1,2350.0,0,0.0,2350.0,Elena Cruz,Lima Este,E-commerce,Tarjeta crédito
162,2024-12-12,Impresora HP LaserJet,Impresoras,3,750.0,10,225.0,2025.0,Sofía Puma,Lima Norte,E-commerce,Tarjeta crédito
163,2024-04-09,Mouse Logitech MX Master,Periféricos,8,220.0,0,0.0,1760.0,María Flores,Lima Centro,Tienda física,Tarjeta crédito
164,2024-08-02,SSD Samsung 1TB,Almacenamiento,8,320.0,0,0.0,2560.0,Pedro Salas,Trujillo,E-commerce,Transferencia
165,2024-02-22,"Monitor LG 24""",Monitores,5,850.0,10,425.0,3825.0,Carlos Ríos,Piura,Tienda física,Transferencia
166,2024-03-16,Mouse Logitech MX Master,Periféricos,2,220.0,15,66.0,374.0,Luis Vega,Arequipa,E-commerce,Transferencia
